epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.0281,1.67808,2.11479,1.8425,0.38878,0.30366,0.24792,0.10099,1.97301,3.01719,2.35284,0.000552417,0.000552417,0.000552417
2,79.087,1.77855,2.08257,1.95017,0.36955,0.33726,0.28063,0.09574,2.2011,2.66958,2.55828,0.00108614,0.00108614,0.00108614
3,116.647,1.80623,2.17261,1.9868,0.24612,0.38566,0.22428,0.07764,2.41392,3.41943,2.71679,0.00159787,0.00159787,0.00159787
4,154.108,1.76944,2.15835,1.96967,0.56756,0.44086,0.45318,0.19947,1.93196,1.97563,2.23386,0.00156798,0.00156798,0.00156798
5,191.597,1.71689,2.02943,1.91178,0.49773,0.41889,0.42664,0.17163,1.89942,2.21522,2.2145,0.00153497,0.00153497,0.00153497
6,228.961,1.69275,1.98608,1.88243,0.60952,0.49789,0.55083,0.25224,1.85852,1.78417,2.14046,0.00150197,0.00150197,0.00150197
7,266.248,1.62676,1.84651,1.83805,0.66448,0.56231,0.60078,0.25874,1.96899,1.71355,2.22037,0.00146896,0.00146896,0.00146896
8,303.472,1.612,1.81972,1.83697,0.69247,0.58283,0.62475,0.27579,1.87196,1.59238,2.1482,0.00143595,0.00143595,0.00143595
9,340.952,1.5607,1.72164,1.78147,0.66195,0.57603,0.60666,0.28843,1.76031,1.64521,2.04478,0.00140295,0.00140295,0.00140295
10,378.459,1.5474,1.69477,1.76569,0.75113,0.59695,0.68154,0.33665,1.69589,1.459,1.9882,0.00136994,0.00136994,0.00136994
11,415.857,1.53933,1.63204,1.76436,0.73288,0.61422,0.67451,0.31495,1.81875,1.45213,2.09799,0.00133693,0.00133693,0.00133693
12,453.106,1.51292,1.58923,1.73916,0.64418,0.53791,0.58891,0.29356,1.82239,1.75224,2.10987,0.00130393,0.00130393,0.00130393
13,490.255,1.50327,1.60135,1.73247,0.77616,0.65462,0.70964,0.37715,1.66104,1.34162,1.91965,0.00127092,0.00127092,0.00127092
14,527.543,1.48347,1.54162,1.71459,0.68458,0.69845,0.73025,0.36198,1.75226,1.34936,1.99505,0.00123791,0.00123791,0.00123791
15,564.699,1.45592,1.50461,1.70013,0.78825,0.69341,0.75192,0.38592,1.67573,1.23348,1.90249,0.00120491,0.00120491,0.00120491
16,601.915,1.44576,1.47925,1.67441,0.78501,0.71282,0.73588,0.3807,1.69392,1.25556,1.95441,0.0011719,0.0011719,0.0011719
17,639.038,1.42202,1.42757,1.66113,0.8171,0.68136,0.7552,0.3669,1.75067,1.25127,2.01946,0.00113889,0.00113889,0.00113889
18,676.245,1.40346,1.40907,1.64701,0.82267,0.67892,0.75929,0.40427,1.6171,1.1959,1.89671,0.00110589,0.00110589,0.00110589
19,713.508,1.40358,1.38725,1.62537,0.80906,0.70063,0.76415,0.4288,1.57782,1.15339,1.84613,0.00107288,0.00107288,0.00107288
20,750.723,1.38125,1.36185,1.64011,0.81685,0.68373,0.76658,0.40686,1.58765,1.17723,1.83898,0.00103987,0.00103987,0.00103987
21,787.901,1.37988,1.34775,1.62663,0.80067,0.73001,0.76805,0.41411,1.61759,1.12428,1.88339,0.00100687,0.00100687,0.00100687
22,825.179,1.3708,1.32004,1.61621,0.79752,0.69311,0.75562,0.41106,1.54815,1.17554,1.82208,0.000973861,0.000973861,0.000973861
23,862.373,1.36256,1.28792,1.60548,0.81346,0.74043,0.78501,0.43618,1.53785,1.11162,1.7927,0.000940855,0.000940855,0.000940855
24,899.559,1.33092,1.25134,1.58292,0.79248,0.75798,0.79331,0.45433,1.50198,1.0706,1.76845,0.000907848,0.000907848,0.000907848
25,936.781,1.34438,1.25162,1.59039,0.8501,0.72691,0.79318,0.45814,1.47322,1.05764,1.75763,0.000874842,0.000874842,0.000874842
26,974.033,1.31391,1.23346,1.57466,0.8164,0.74411,0.79778,0.44806,1.51792,1.05051,1.77843,0.000841835,0.000841835,0.000841835
27,1011.25,1.30167,1.22214,1.56728,0.82808,0.74048,0.79617,0.46207,1.51053,1.03287,1.78115,0.000808828,0.000808828,0.000808828
28,1048.49,1.30477,1.18526,1.56086,0.82195,0.75295,0.7978,0.48667,1.42238,1.0038,1.699,0.000775822,0.000775822,0.000775822
29,1085.81,1.29155,1.19809,1.55986,0.8408,0.75732,0.81136,0.47163,1.45996,1.02783,1.72221,0.000742815,0.000742815,0.000742815
30,1122.97,1.27348,1.1608,1.53727,0.87055,0.75638,0.80881,0.47538,1.44222,1.00671,1.73066,0.000709809,0.000709809,0.000709809
31,1160.15,1.25135,1.12101,1.51631,0.83882,0.75739,0.81253,0.47094,1.45732,0.96692,1.72283,0.000676802,0.000676802,0.000676802
32,1197.37,1.24248,1.11795,1.52881,0.85742,0.75224,0.81764,0.48243,1.45337,0.97254,1.73561,0.000643795,0.000643795,0.000643795
33,1234.47,1.26036,1.11192,1.5238,0.84986,0.73606,0.81738,0.47686,1.46202,0.96202,1.74306,0.000610789,0.000610789,0.000610789
34,1271.8,1.22632,1.09013,1.50825,0.86913,0.74491,0.8273,0.49175,1.44227,0.94338,1.71038,0.000577782,0.000577782,0.000577782
35,1309.21,1.23835,1.08387,1.50653,0.86398,0.74009,0.80847,0.4851,1.40271,0.96247,1.69661,0.000544776,0.000544776,0.000544776
36,1346.38,1.21628,1.06758,1.48965,0.90714,0.71318,0.81507,0.48776,1.43326,0.96631,1.72661,0.000511769,0.000511769,0.000511769
37,1383.53,1.19686,1.02799,1.47534,0.89698,0.74276,0.81087,0.48048,1.44697,0.94896,1.74151,0.000478762,0.000478762,0.000478762
38,1420.59,1.18714,1.01967,1.45779,0.82684,0.78157,0.82559,0.49973,1.40864,0.87785,1.69352,0.000445756,0.000445756,0.000445756
39,1457.78,1.16721,1.00193,1.45699,0.87864,0.74717,0.82579,0.51076,1.38679,0.90413,1.68188,0.000412749,0.000412749,0.000412749
40,1494.98,1.15951,0.98791,1.44937,0.89001,0.74358,0.81675,0.49952,1.39146,0.91304,1.67704,0.000379743,0.000379743,0.000379743
41,1540.11,1.01778,0.65702,1.37734,0.88169,0.75364,0.82602,0.50128,1.4094,0.8969,1.70423,0.000346736,0.000346736,0.000346736
42,1577.18,1.0025,0.61625,1.36703,0.8507,0.761,0.81584,0.49532,1.39891,0.91971,1.69465,0.000313729,0.000313729,0.000313729
43,1617.85,0.97187,0.60119,1.34205,0.85402,0.77066,0.81896,0.50539,1.37547,0.93347,1.69293,0.000280723,0.000280723,0.000280723
44,1662.12,0.95427,0.56943,1.32487,0.90366,0.73063,0.81279,0.5098,1.36021,0.90771,1.6712,0.000247716,0.000247716,0.000247716
45,1705.45,0.94434,0.55051,1.32282,0.87208,0.74946,0.81399,0.50753,1.33949,0.91335,1.66211,0.00021471,0.00021471,0.00021471
46,1743.82,0.92899,0.53443,1.31147,0.88523,0.75397,0.81806,0.50894,1.32649,0.93252,1.64987,0.000181703,0.000181703,0.000181703
47,1783.91,0.913,0.52662,1.29191,0.88209,0.75545,0.8227,0.51553,1.3215,0.92114,1.64735,0.000148696,0.000148696,0.000148696
48,1822.88,0.8958,0.51955,1.28571,0.8951,0.75219,0.81919,0.51135,1.33297,0.91957,1.65666,0.00011569,0.00011569,0.00011569
49,1861.08,0.87381,0.49717,1.26234,0.89008,0.74473,0.81595,0.51283,1.31931,0.92258,1.65091,8.26832e-05,8.26832e-05,8.26832e-05
50,1899.37,0.87078,0.49102,1.26199,0.89755,0.7531,0.81616,0.52115,1.31702,0.90166,1.64421,4.96766e-05,4.96766e-05,4.96766e-05
